141182,汾阳市,,,3,37.2654551,111.7877555
150000,内蒙古自治区,Inner Mongolia,,1,40.8209419,111.6632996
150100,呼和浩特市,Hohhot shi,Huhehaote shi,2,40.8672334,111.8145561
150101,呼和浩特市轄區,Hohhot shixiaqu,Huhehaote shixiaqu,3,,
150102,呼和浩特﹕新城區,Hohhot: Xincheng qu,Huhehaote: Xincheng qu,3,,
150103,呼和浩特﹕回民區,Hohhot: Huimin qu,Huhehaote: Huimin qu,3,,
150104,呼和浩特﹕玉泉區,Hohhot: Yuquan qu,Huhehaote: Yuquan qu,3,,
150105,赛罕区,,,3,40.7921010,111.7018604
150121,土默特左旗,Tumd zuoqi,Tumote zuoqi,3,40.6753655,111.2985206
150122,托克托,Togtoh,Tuoketuo,3,,
150123,和林格尔县,,,3,40.3853242,111.8784249
150124,清水河县,,,3,39.9246714,111.6819370
150125,武川县,,,3,41.0830793,111.1985493
150200,包頭市,Baotou shi,Baotou shi,2,,
150201,包頭市轄區,Baotou shixiaqu,Baotou shixiaqu,3,,
150202,包頭﹕東河區,Baotou: Donghe qu,Baotou: Donghe qu,3,,
150203,昆都仑区,,,3,40.6407991,109.8375320
150204,包頭﹕青山區,Baotou: Qingshan qu,Baotou: Qingshan qu,3,,
150205,石拐区,,,3,40.6719235,110.2720177
150206,白云鄂博矿区,,,3,41.7748323,109.9761164
150207,九原区,,,3,40.6055469,109.9649584
150221,土默特右旗,Tumd youqi,Tumote youqi,3,40.5509421,110.6896913
150222,固陽,Guyang,Guyang,3,,
150223,达尔罕茂明安联合旗,,,3,41.9755960,110.4747069
150300,烏海市,Wuhai shi,Wuhai shi,2,,
150301,烏海市轄區,Wuhai shixiaqu,Wuhai shixiaqu,3,,
150302,烏海﹕海勃灣區,Wuhai: Haibowan qu,Wuhai: Haibowan qu,3,,
150303,烏海﹕海南區,Wuhai: Hainan qu,Wuhai: Hainan qu,3,,
150304,烏海﹕烏達區,Wuhai: Ud qu,Wuhai: Ud qu,3,,
150400,赤峰市,Chifeng shi,Chifeng shi,2,42.2903817,118.9847445
150401,赤峰市轄區,Chifeng shixiaqu,Chifeng shixiaqu,3,,
150402,赤峰﹕紅山區,Chifeng: Hongshan qu,Chifeng: Hongshan qu,3,,
150403,赤峰﹕元寶山區,Chifeng: Yuanbaoshan qu,Chifeng: Yuanbaoshan qu,3,,
150404,赤峰﹕松山區,Chifeng: Songshan qu,Chifeng: Songshan qu,3,,
150421,阿魯科爾沁旗,Ar Horqin qi,Aluke'erqin qi,3,,
150422,巴林左旗,Bairin zuoqi,Balin zuoqi,3,43.9713683,119.3792868
150423,巴林右旗,Bairin youqi,Balin youqi,3,43.5308003,118.6806035
150424,林西,Linxi,Linxi,3,,
150425,克什克騰旗,Hexigten qi,Keshiketeng qi,3,,
